target_protein,ligand_pdb,rotatable_bonds
001-CA2,5NXG,4
001-CA2,5NXI,4
001-CA2,5NXO,4
001-CA2,5NXP,5
001-CA2,5NXV,5
001-CA2,5NXW,5
001-CA2,5NY1,4
001-CA2,5NY3,5
001-CA2,5NY6,4
001-CA2,5NYA,1
002-HIV-PR,1HSG,11
002-HIV-PR,1HXW,17
002-HIV-PR,1IZH,18
002-HIV-PR,1T3R,11
002-HIV-PR,2Q54,15
002-HIV-PR,2Q55,14
002-HIV-PR,2Q5K,15
002-HIV-PR,3EKX,9
002-HIV-PR,3EL1,14
002-HIV-PR,3NU3,11
002-HIV-PR,3OXC,12
002-HIV-PR,5HVP,20
002-HIV-PR,model13a,14
002-HIV-PR,model13c,14
002-HIV-PR,model13d,14
002-HIV-PR,model16a,14
002-HIV-PR,model16e,15
002-HIV-PR,model16f,15
002-HIV-PR,model22a,14
002-HIV-PR,model22d,14
002-HIV-PR,model23a,13
002-HIV-PR,model25d,13
003-CK2,1F0Q,0
003-CK2,1J91,0
003-CK2,1M2P,1
003-CK2,1M2Q,1
003-CK2,1M2R,0
003-CK2,1ZOE,1
003-CK2,1ZOG,1
003-CK2,1ZOH,0
003-CK2,2OXD,0
003-CK2,2OXX,0
003-CK2,2OXY,0
003-CK2,3KXG,0
003-CK2,3KXH,3
003-CK2,3KXM,3
003-CK2,3KXN,0
003-CK2,3PVG,2
004-AR,1US0,6
004-AR,2IKG,6
004-AR,2IKH,5
004-AR,2IKI,6
004-AR,2IKJ,7
004-AR,4LAU,6
004-AR,4LAZ,6
004-AR,4LB3,6
004-AR,4LB4,6
004-AR,4LBR,6
004-AR,4LBS,6
004-AR,4QXI,6
004-AR,4XZH,5
004-AR,4XZI,5
005-Cath-D,6QBG,3
005-Cath-D,6QBH,3
005-Cath-D,6QCB,3
005-Cath-D,model08,2
005-Cath-D,model22,3
005-Cath-D,model24,3
005-Cath-D,model25,4
005-Cath-D,model31,3
005-Cath-D,model35,3
005-Cath-D,model36,3
006-BACE1,5QCO,7
006-BACE1,5QCP,9
006-BACE1,5QCR,16
006-BACE1,5QCT,10
006-BACE1,5QCU,7
006-BACE1,5QCV,6
006-BACE1,5QCX,7
006-BACE1,5QCY,9
006-BACE1,5QCZ,6
006-BACE1,5QD0,7
006-BACE1,5QD1,8
006-BACE1,5QD2,8
006-BACE1,5QD3,8
006-BACE1,5QD5,6
006-BACE1,5QD9,5
006-BACE1,5QDA,7
007-JAK1,4E4L,2
007-JAK1,4E4N,2
007-JAK1,4E5W,3
007-JAK1,4EHZ,1
007-JAK1,4EI4,1
007-JAK1,4FK6,4
007-JAK1,4I5C,2
007-JAK1,4IVB,2
007-JAK1,4IVC,3
007-JAK1,4IVD,4
007-JAK1,4K6Z,3
007-JAK1,4K77,2
008-Trypsin,1K1I,8
008-Trypsin,1K1J,8
008-Trypsin,1K1L,7
008-Trypsin,1K1M,7
008-Trypsin,1K1N,12
008-Trypsin,2ZHD,7
008-Trypsin,2ZQ2,7
008-Trypsin,3LJJ,7
008-Trypsin,3LJO,7
008-Trypsin,5MNG,1
008-Trypsin,5MO2,0
008-Trypsin,6SY3,7
008-Trypsin,6T0M,6
008-Trypsin,6T0P,6
008-Trypsin,6T5W,6
009-CDK2,3QQK,5
009-CDK2,3QTQ,5
009-CDK2,3QTR,4
009-CDK2,3QTS,5
009-CDK2,3QTU,6
009-CDK2,3QTW,4
009-CDK2,3QTX,6
009-CDK2,3QTZ,5
009-CDK2,3QU0,5
009-CDK2,3QXP,6
009-CDK2,3R8U,5
009-CDK2,3R8V,6
009-CDK2,3R8Z,5
009-CDK2,3R9D,5
009-CDK2,3R9N,5
009-CDK2,3RAH,4
009-CDK2,3RAK,5
009-CDK2,3RAL,6
009-CDK2,3RJC,4
009-CDK2,3RK5,5
009-CDK2,3RK7,5
009-CDK2,3RK9,4
009-CDK2,3RKB,4
009-CDK2,3RMF,5
009-CDK2,3RNI,5
009-CDK2,3RPV,5
009-CDK2,3RPY,4
009-CDK2,3S00,5
009-CDK2,3S0O,5
009-CDK2,3S1H,6
009-CDK2,3SQQ,5
010-MMP12,3EHX,7
010-MMP12,3EHY,5
010-MMP12,3F15,8
010-MMP12,3F16,6
010-MMP12,3F17,5
010-MMP12,3F18,6
010-MMP12,3F19,4
010-MMP12,3F1A,4
010-MMP12,3LK8,5
010-MMP12,3N2U,10
010-MMP12,3N2V,7
010-MMP12,3NX7,7
010-MMP12,3RTS,6
010-MMP12,3RTT,5
010-MMP12,4GUY,7
010-MMP12,5LAB,7
010-MMP12,6RD0,5
010-MMP12,6RLY,6
